comment,cleaned_comment
Cool video ❤❤❤,cool video
What is your age,age
NAO GOSTEI EU ODIEI COMO TEM CORAJEM DE JOGAR O CELULAR😡,nao gostei eu odiei como tem corajem de jogar celular
Food comment in this video,food comment video
So amazing,amazing
I love it ❤❤❤,love
wow bagus banget salam dari lndonesia,wow bagus banget salam dari lndonesia
"You can't be serious,why are you throwing cool iphones in liquid.You are insane,those phones look gorgeuos.YOU ARE NUTS
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!🤨🤨🤨🤨🤨🤨🤨🤨🤨🤨🤨🤨",serious throwing cool iphones liquid insane phones look gorgeuos nuts
Amazing video❤❤❤,amazing video
amazing video,amazing video
Very good 😊,good
Can I have one iPhone please,one iphone
Toys King❤❤❤,toys king
Niewolni tak straćiłeś ponad 10 tysięcy złotych,niewolni tak stra e ponad 10 tysi cy z otych
😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉🎉 12:40,12 40
Iphone. Hum.   Ko.  Do.290,iphone hum ko 290
❤❤❤❤❤❤❤❤❤ ¡¡¡¡¡¡wow!!!!!!!!!,wow
iphone ny di buang sini lah buat gw,iphone ny di buang sini lah buat gw
❤❤❤ HR,hr
❤❤❤❤ celebrant ganda,celebrant ganda
Cat ❤🎉in a 3D 😮😂😂😂 1:33,cat 3d 1 33
En vez de tirarle a nosotros y no lo tienes ahí,en vez de tirarle nosotros lo tienes ah
Bhai apna face reveal Karo,bhai apna face reveal karo
It's stupid when you literally sending it to your mother what i did for no reason,stupid literally sending mother reason
First,first
This video is very wonderful ❤,video wonderful
سككختظوض❤❤❤❤😮😮😮اسلس😊😊الظ❤❤❤❤❤عل ‏‪1:17‬‏,1 17
Heloooouuuu,heloooouuuu
QUERO O ROSA,quero rosa
Very nice ❤❤❤❤❤❤❤❤❤,nice
"a  iphone  16  i  like  thar  phone
it  not  a  cool   video",iphone 16 thar phone cool video
Cool videos 💜💜🌷,cool videos
